name,year,total_population,median_contract_rent,median_home_value,price_to_rent
"Raleigh, North Carolina",2015,439884,801,215000,22.367873491469002
"Raleigh, North Carolina",2016,451949,846,226500,22.310874704491724
"Raleigh, North Carolina",2017,458862,889,242500,22.731533558305212
"Raleigh, North Carolina",2018,464972,935,239700,21.363636363636363
"Raleigh, North Carolina",2019,470509,983,268900,22.795863004408275
"Miami, Florida",2010,433143,794,261400,27.434928631402183
"Miami, Florida",2011,400892,788,222100,23.487732656514392
"Miami, Florida",2012,408760,807,186800,19.289549772821147
"Miami, Florida",2013,413864,827,193300,19.47803305118904
"Miami, Florida",2014,417670,856,223500,21.75817757009346
"Miami, Florida",2015,430341,874,245000,23.360030511060266
"Miami, Florida",2016,440989,900,286600,26.537037037037038
"Miami, Florida",2017,453584,944,277700,24.51447740112995
"Miami, Florida",2018,463354,1041,322100,25.78450208133205
"Miami, Florida",2019,470911,1082,350400,26.98706099815157
"Minneapolis, Minnesota",2010,385384,720,220900,25.56712962962963
"Minneapolis, Minnesota",2011,383280,725,219600,25.24137931034483
"Minneapolis, Minnesota",2012,387736,730,199100,22.728310502283104
"Minneapolis, Minnesota",2013,392871,752,195300,21.64228723404255
"Minneapolis, Minnesota",2014,400079,783,197900,21.06215410813112
"Minneapolis, Minnesota",2015,407181,813,204600,20.971709717097173
"Minneapolis, Minnesota",2016,410935,852,227500,22.25156494522692
"Minneapolis, Minnesota",2017,413645,860,235200,22.790697674418613
"Minneapolis, Minnesota",2018,422326,912,250400,22.880116959064328
"Minneapolis, Minnesota",2019,425395,960,269500,23.394097222222214
"Tulsa, Oklahoma",2010,389369,550,121100,18.348484848484848
"Tulsa, Oklahoma",2011,393577,552,125300,18.91606280193237
"Tulsa, Oklahoma",2012,396039,549,119400,18.12386156648452
"Tulsa, Oklahoma",2013,394098,574,122000,17.711962833914058
"Tulsa, Oklahoma",2014,398724,588,121300,17.191043083900226
"Tulsa, Oklahoma",2015,399274,600,124000,17.22222222222222
"Tulsa, Oklahoma",2016,403091,625,133700,17.826666666666668
"Tulsa, Oklahoma",2017,403622,633,130100,17.127435492364402
"Tulsa, Oklahoma",2018,402227,657,139700,17.719431760527648
"Tulsa, Oklahoma",2019,401112,672,144100,17.869543650793652
"Wichita, Kansas",2010,372194,481,115800,20.06237006237006
"Wichita, Kansas",2011,383142,492,114400,19.37669376693767
"Wichita, Kansas",2012,384439,508,119900,19.668635170603675
"Wichita, Kansas",2013,385586,522,118400,18.901660280970624
"Wichita, Kansas",2014,386558,543,115800,17.771639042357272
"Wichita, Kansas",2015,388413,548,120900,18.385036496350367
"Wichita, Kansas",2016,389955,567,124400,18.283362727807173
"Wichita, Kansas",2017,389927,591,123500,17.413987591652567
"Wichita, Kansas",2018,390599,604,135100,18.639624724061807
"Wichita, Kansas",2019,389259,591,139800,19.712351945854486
"Cleveland, Ohio",2010,431369,473,84000,14.799154334038056
"Cleveland, Ohio",2011,396240,505,81200,13.399339933993401
"Cleveland, Ohio",2012,393804,507,76600,12.590401051939516
"Cleveland, Ohio",2013,390923,521,71000,11.356365962891875
"Cleveland, Ohio",2014,390106,506,66600,10.968379446640318
"Cleveland, Ohio",2015,389524,522,65900,10.520434227330778
"Cleveland, Ohio",2016,388059,540,66200,10.216049382716047
"Cleveland, Ohio",2017,385810,550,66800,10.12121212121212
